,Date,Open,High,Low,Close,Adj Close,Volume
294,3/6/2021,0.331868,0.369193,0.321955,0.362943,0.362943,45913635
295,4/6/2021,0.363171,0.367401,0.306451,0.333294,0.333294,44142780
296,5/6/2021,0.333836,0.345569,0.310365,0.318007,0.318007,27957343
297,6/6/2021,0.317801,0.330732,0.316129,0.325221,0.325221,22590331
298,7/6/2021,0.325202,0.33142,0.292206,0.294607,0.294607,23892523
299,8/6/2021,0.29496,0.299911,0.251212,0.282337,0.282337,34805765
300,9/6/2021,0.281625,0.291241,0.262999,0.291241,0.291241,30821606
301,10/6/2021,0.29169,0.304265,0.277802,0.301662,0.301662,34303896
302,11/6/2021,0.299879,0.342084,0.283632,0.305017,0.305017,78609778
303,12/6/2021,0.30846,0.30846,0.255767,0.262565,0.262565,44057358
304,13/6/2021,0.262832,0.277508,0.253982,0.277125,0.277125,24562535
305,14/6/2021,0.276657,0.287271,0.268428,0.278811,0.278811,23321280
306,15/6/2021,0.280811,0.288243,0.273037,0.281769,0.281769,26470560
307,16/6/2021,0.286556,0.300108,0.267431,0.271033,0.271033,39856915
308,17/6/2021,0.26993,0.283912,0.265793,0.271641,0.271641,21903774
309,18/6/2021,0.271796,0.272866,0.243079,0.256947,0.256947,19980071
310,19/6/2021,0.257239,0.258112,0.245705,0.246762,0.246762,16074870
311,20/6/2021,0.246123,0.249051,0.220954,0.238649,0.238649,21939388
312,21/6/2021,0.238252,0.239482,0.178368,0.179448,0.179448,31001875
313,22/6/2021,0.179325,0.192664,0.147098,0.173803,0.173803,38387730
314,23/6/2021,0.173665,0.206967,0.167116,0.189855,0.189855,38239739
315,24/6/2021,0.192676,0.211131,0.18043,0.203364,0.203364,26352717
316,25/6/2021,0.203134,0.210764,0.181435,0.183946,0.183946,27971339
317,26/6/2021,0.183423,0.189063,0.170821,0.184071,0.184071,15906258
318,27/6/2021,0.184426,0.190333,0.176513,0.189946,0.189946,15541270
319,28/6/2021,0.190143,0.2046,0.188219,0.203943,0.203943,23853020
320,29/6/2021,0.204121,0.229254,0.202804,0.225419,0.225419,31501597
321,30/6/2021,0.227237,0.245681,0.212515,0.245258,0.245258,47710427
322,1/7/2021,0.24494,0.269859,0.239672,0.252528,0.252528,72563234
323,2/7/2021,0.252061,0.252907,0.221715,0.243665,0.243665,38514350
324,3/7/2021,0.243994,0.274496,0.234911,0.264626,0.264626,42853127
325,4/7/2021,0.264611,0.300552,0.255291,0.276339,0.276339,64891548
326,5/7/2021,0.276169,0.286371,0.258131,0.266722,0.266722,44150772
327,6/7/2021,0.266798,0.338596,0.266537,0.310031,0.310031,213306199
328,7/7/2021,0.309789,0.443526,0.308664,0.397408,0.397408,633645287
329,8/7/2021,0.401629,0.535238,0.386059,0.431393,0.431393,997484129
330,9/7/2021,0.427198,0.512171,0.371534,0.491758,0.491758,662940293
331,10/7/2021,0.495276,0.54221,0.462951,0.490155,0.490155,570706459
332,11/7/2021,0.492908,0.505383,0.455412,0.488744,0.488744,245036807
333,12/7/2021,0.489223,0.489223,0.417917,0.418723,0.418723,162830704
334,13/7/2021,0.41828,0.468312,0.409809,0.435506,0.435506,276063029
335,14/7/2021,0.434704,0.61804,0.383799,0.595623,0.595623,856156113
336,15/7/2021,0.593634,0.690682,0.51648,0.545404,0.545404,1141972818
337,16/7/2021,0.543333,0.605729,0.4795,0.489117,0.489117,512447212
338,17/7/2021,0.489663,0.489663,0.424305,0.448041,0.448041,269037228
339,18/7/2021,0.448701,0.520867,0.447326,0.483973,0.483973,414215647
340,19/7/2021,0.484736,0.484919,0.418608,0.439529,0.439529,198931034
341,20/7/2021,0.440456,0.440657,0.364971,0.38618,0.38618,189601054
342,21/7/2021,0.385456,0.483534,0.376004,0.469595,0.469595,401951819
343,22/7/2021,0.473378,0.516285,0.469162,0.501101,0.501101,390223260
344,23/7/2021,0.499811,0.687607,0.499371,0.653494,0.653494,1079949483
345,24/7/2021,0.65828,0.844155,0.63237,0.73256,0.73256,1449325982
346,25/7/2021,0.730259,0.780685,0.673085,0.753241,0.753241,753778396
347,26/7/2021,0.754889,0.765232,0.597762,0.659873,0.659873,603487664
348,27/7/2021,0.656826,0.754857,0.577994,0.676553,0.676553,924903204
349,28/7/2021,0.678324,0.753579,0.655655,0.67958,0.67958,578443495
350,29/7/2021,0.680051,0.696345,0.642973,0.662678,0.662678,251799687
351,30/7/2021,0.664198,0.671092,0.620283,0.656276,0.656276,226903592
352,31/7/2021,0.656373,0.673892,0.629032,0.639603,0.639603,176578301
353,1/8/2021,0.639267,0.641814,0.579973,0.590278,0.590278,159983141
354,2/8/2021,0.588905,0.650356,0.588319,0.613217,0.613217,254280895
355,3/8/2021,0.612827,0.612827,0.578018,0.588939,0.588939,161142479
356,4/8/2021,0.591318,0.662556,0.582478,0.649377,0.649377,310811497
357,5/8/2021,0.651004,0.659208,0.603225,0.637435,0.637435,202610486
358,6/8/2021,0.637269,0.645573,0.617781,0.635842,0.635842,192663407
359,7/8/2021,0.636448,0.655441,0.615365,0.637925,0.637925,222553554
360,8/8/2021,0.639784,0.668522,0.603704,0.614391,0.614391,228565751
361,9/8/2021,0.616148,0.632484,0.600423,0.627201,0.627201,170464662
362,10/8/2021,0.626806,0.705585,0.616038,0.679146,0.679146,546473024
